Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C],Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0.0,0,3.19,3.0,-4.3,11.0,379.2,23.84,53.0,51.0,-0.23,483.0,43.0,3.75,1,382.0,1.44,1440.0,-0.17,0.0,0.0,85,1440.0,67.5,48.75,51.63,36.18,37.41,35.84,34.0,33.92,43.87,42.82,25.1,19.43,20.21,22.22,49.1,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
0.1,0,3.19,3.0,-4.46,11.0,379.2,23.84,53.0,51.0,-0.23,483.0,43.0,3.75,1,382.0,1.44,1440.0,-0.21,0.0,0.0,85,1440.0,67.5,48.75,51.63,36.18,37.41,35.84,34.0,33.92,43.87,42.82,25.1,19.43,20.21,22.22,49.1,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
0.2,0,3.19,3.0,-4.71,11.0,379.2,23.84,53.0,51.0,-0.22,483.0,43.0,3.75,1,382.0,1.44,1440.0,-0.21,0.0,0.0,85,1459.96,67.5,48.75,51.63,36.18,37.41,35.84,34.0,33.92,43.87,42.82,25.1,19.43,20.21,22.22,49.1,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
0.3,0,3.19,3.0,-4.9,11.0,379.2,23.84,53.0,51.0,-0.21,483.0,43.0,3.75,1,382.0,1.44,1449.72,-0.18,0.0,0.0,85,1479.96,67.5,48.75,51.63,36.18,37.41,35.84,34.0,33.92,43.87,42.82,25.1,19.43,20.21,22.22,49.1,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
0.4,0,3.19,3.0,-5.05,11.0,379.2,23.84,53.0,51.0,-0.21,483.0,43.0,3.75,1,382.0,1.44,1459.72,-0.18,0.0,0.0,85,1480.0,67.5,48.75,51.63,36.18,37.41,35.84,34.0,33.92,43.87,42.82,25.1,19.43,20.21,22.22,49.1,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
0.5,0,3.19,3.0,-5.03,11.0,379.2,23.84,53.0,51.0,-0.2,483.0,43.0,3.75,1,382.0,1.44,1469.72,-0.18,0.0,0.0,85,1480.0,67.5,48.75,51.63,36.18,37.41,35.84,34.0,33.92,43.87,42.82,25.1,19.43,20.21,22.22,49.1,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
0.6,0,3.19,3.0,-4.93,11.0,379.2,23.84,53.0,51.0,-0.19,483.0,43.0,3.75,1,382.0,1.44,1479.72,-0.2,0.0,0.0,85,1480.0,67.5,48.75,51.63,36.18,37.41,35.84,34.0,33.92,43.87,42.82,25.1,19.43,20.21,22.22,49.1,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
0.7,0,3.19,3.0,-5.26,11.0,379.23,23.84,53.0,51.0,-0.18,483.0,43.0,3.87,1,382.0,1.44,1480.0,-0.17,0.0,0.0,85,1480.0,67.5,48.75,51.63,36.18,37.41,35.84,34.0,33.92,43.87,42.82,25.1,19.43,20.21,22.22,49.1,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
0.8,0,3.2,3.0,-5.81,11.0,379.28,23.84,53.0,51.0,-0.18,483.0,43.0,4.0,1,382.0,1.44,1480.0,-0.2,0.0,0.0,85,1480.0,67.5,48.75,51.63,36.18,37.41,35.84,34.0,33.92,43.87,42.82,25.1,19.43,20.21,22.25,49.1,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
0.9,0,3.21,3.0,-5.67,11.0,379.27,23.84,53.0,51.0,-0.17,483.0,43.0,4.0,1,382.0,1.44,1480.0,-0.19,0.0,0.0,85,1480.0,67.5,48.75,51.63,36.18,37.41,35.85,34.0,33.92,43.88,42.82,25.1,19.43,20.21,22.28,49.1,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
1.0,0,3.22,3.0,-5.17,11.0,379.22,23.84,53.0,51.0,-0.16,483.0,43.0,4.0,1,382.0,1.44,1480.0,-0.2,0.0,0.0,85,1480.0,67.5,48.75,51.63,36.18,37.41,35.86,34.0,33.92,43.88,42.82,25.1,19.43,20.21,22.3,49.09,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
1.1,0,3.23,3.0,-5.36,11.0,379.2,23.84,53.0,51.0,-0.15,483.0,43.0,3.88,1,382.0,1.44,1480.0,-0.2,0.0,0.0,85,1480.0,67.5,48.75,51.63,36.18,37.41,35.86,34.0,33.92,43.89,42.82,25.1,19.43,20.21,22.33,49.08,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
1.2,0,3.24,3.0,-5.91,11.0,379.2,23.84,53.0,51.0,-0.17,483.0,43.0,3.75,1,382.0,1.44,1480.0,-0.23,0.0,0.0,85,1480.0,67.5,48.75,51.63,36.18,37.41,35.87,34.0,33.92,43.9,42.82,25.1,19.43,20.21,22.35,49.07,35.14,33.92,32.95,31.73,0.0,0.0,78.0,12.0,88.5,8
