Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C],Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0.0,0,2.58,1.0,-1.3,1.0,374.9,10.0,-1.0,-1.0,-0.46,477.0,5.0,0.0,1,378.0,0.0,0.0,-0.23,0.0,0.0,85,0.0,52.9,-0.74,-1.43,0.14,-0.56,-0.04,-0.47,-0.65,-2.48,-2.39,-2.05,-1.0,3.45,5.55,-0.91,-0.12,-1.08,0.84,1.01,0.0,0.0,58.0,1.0,88.5,8
0.1,0,2.58,1.0,-1.3,1.0,374.9,10.0,-1.0,-1.0,-0.46,477.0,5.0,0.0,1,378.0,0.0,0.0,-0.23,0.0,0.0,85,0.0,52.9,-0.74,-1.43,0.14,-0.56,-0.04,-0.47,-0.65,-2.48,-2.39,-2.05,-1.0,3.45,5.55,-0.91,-0.12,-1.08,0.84,1.01,0.0,0.0,58.0,1.0,88.5,8
0.2,0,2.58,1.0,-1.3,1.0,374.9,10.0,-1.0,-1.0,-0.46,477.0,5.0,0.0,1,378.0,0.0,0.0,-0.22,0.0,0.0,85,0.0,52.9,-0.74,-1.43,0.14,-0.56,-0.04,-0.47,-0.65,-2.48,-2.39,-2.05,-1.0,3.45,5.55,-0.91,-0.12,-1.08,0.84,1.01,0.0,0.0,58.0,1.0,88.5,8
0.3,0,2.58,1.0,-1.3,1.0,374.9,10.0,-1.0,-1.0,-0.46,477.0,5.0,0.0,1,378.0,0.0,0.0,-0.22,0.0,0.0,85,0.0,52.9,-0.74,-1.43,0.14,-0.56,-0.04,-0.47,-0.65,-2.48,-2.39,-2.05,-1.0,3.45,5.55,-0.91,-0.12,-1.08,0.84,1.01,0.0,0.0,58.0,1.0,88.5,8
0.4,0,2.58,1.0,-1.3,1.0,374.9,10.0,-1.0,-1.0,-0.46,477.0,5.0,0.0,1,378.0,0.0,0.0,-0.26,0.0,0.0,85,0.0,52.9,-0.74,-1.43,0.14,-0.56,-0.04,-0.47,-0.65,-2.48,-2.39,-2.05,-1.0,3.45,5.55,-0.91,-0.12,-1.08,0.84,1.01,0.0,0.0,58.0,1.0,88.5,8
0.5,0,2.58,1.0,-1.3,1.0,374.9,10.0,-1.0,-1.0,-0.46,477.0,5.0,0.0,1,378.0,0.0,0.0,-0.27,0.0,0.0,85,0.0,52.9,-0.74,-1.43,0.14,-0.56,-0.04,-0.47,-0.65,-2.48,-2.39,-2.05,-1.0,3.45,5.55,-0.91,-0.12,-1.08,0.84,1.01,0.0,0.0,58.0,1.0,88.5,8
0.6,0,2.58,1.0,-1.3,1.0,374.9,10.0,-1.0,-1.0,-0.46,477.0,5.0,0.0,1,378.0,0.0,0.0,-0.26,0.0,0.0,85,0.0,52.9,-0.74,-1.43,0.14,-0.56,-0.04,-0.47,-0.65,-2.48,-2.39,-2.05,-1.0,3.45,5.55,-0.91,-0.12,-1.08,0.84,1.01,0.0,0.0,58.0,1.0,88.5,8
0.7,0,2.58,1.0,-1.3,1.0,374.9,10.0,-1.0,-1.0,-0.46,477.0,5.0,0.0,1,378.0,0.0,0.0,-0.27,0.0,0.0,85,0.0,52.9,-0.74,-1.43,0.13,-0.56,-0.04,-0.47,-0.65,-2.48,-2.39,-2.05,-1.0,3.46,5.56,-0.91,-0.13,-1.08,0.84,1.0,0.0,0.0,58.0,1.0,88.5,8
0.8,0,2.58,1.0,-1.3,1.0,374.9,10.0,-1.0,-1.0,-0.46,477.0,5.0,0.0,1,378.0,0.0,0.0,-0.25,0.0,0.0,85,0.0,52.9,-0.74,-1.44,0.13,-0.56,-0.04,-0.47,-0.65,-2.49,-2.39,-2.05,-1.0,3.47,5.57,-0.91,-0.14,-1.08,0.84,0.99,0.0,0.0,58.0,1.0,88.5,8
0.9,0,2.58,1.0,-1.3,1.0,374.9,10.0,-1.0,-1.0,-0.46,477.0,5.0,0.0,1,378.0,0.0,0.0,-0.23,0.0,0.0,85,0.0,52.9,-0.74,-1.45,0.12,-0.56,-0.04,-0.47,-0.65,-2.5,-2.39,-2.05,-1.0,3.48,5.58,-0.91,-0.15,-1.08,0.84,0.98,0.0,0.0,58.0,1.0,88.5,8
