Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C],Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0.0,0,5.72,5.5,-3.0,10.0,369.7,22.34,42.0,42.0,-499.89,483.0,28.0,1.25,1,373.0,0.0,460.0,-0.03,0.0,0.0,85,600.0,45.4,36.18,41.25,24.75,27.19,26.76,22.74,23.62,32.87,32.17,16.37,15.67,15.5,15.15,40.2,18.55,21.08,23.53,23.27,0.0,0.0,48.5,11.0,88.5,8.0
0.1,0,5.72,5.5,-3.0,10.0,369.7,22.34,42.0,42.0,-499.89,483.0,28.0,1.25,1,373.0,0.0,460.0,-0.02,0.0,0.0,85,655.45,45.4,36.18,41.25,24.75,27.19,26.76,22.74,23.62,32.87,32.17,16.37,15.67,15.5,15.15,40.2,18.55,21.08,23.53,23.27,0.0,0.0,48.5,11.0,88.5,8.0
0.2,0,5.72,5.5,-3.08,10.0,369.7,22.34,42.0,42.0,-499.89,483.0,28.0,1.38,1,372.74,0.0,507.59,-0.01,0.0,0.0,85,755.44,45.4,36.18,41.25,24.75,27.19,26.76,22.74,23.62,32.87,32.17,16.37,15.67,15.5,15.15,40.2,18.55,21.08,23.53,23.27,0.0,0.0,48.5,11.0,88.5,8.0
0.3,0,5.72,5.5,-3.43,10.0,369.7,22.34,42.0,42.0,-499.89,483.0,28.0,1.63,1,372.24,0.0,597.56,0.02,0.0,0.0,85,855.44,45.4,36.18,41.25,24.75,27.19,26.76,22.74,23.62,32.87,32.17,16.37,15.67,15.5,15.15,40.2,18.55,21.08,23.53,23.27,0.0,0.0,48.5,11.0,88.5,8.0
0.4,0,5.71,5.5,-3.74,10.0,369.69,22.34,42.0,42.0,-499.89,483.0,28.0,1.88,1,372.0,0.0,698.13,-0.02,0.0,0.0,85,955.43,45.4,36.18,41.25,24.74,27.13,26.74,22.67,23.6,32.88,32.24,16.38,15.62,15.39,15.04,40.2,18.54,21.07,23.51,23.19,0.0,0.0,48.5,11.0,88.5,8.0
0.5,0,5.69,5.5,-3.89,10.0,369.64,22.34,42.0,42.0,-499.89,483.0,28.0,2.13,1,372.0,0.0,808.17,-0.05,0.0,0.0,85,1066.51,45.4,36.18,41.25,24.65,27.06,26.67,22.6,23.53,32.93,32.31,16.42,15.57,15.27,14.92,40.2,18.48,20.99,23.42,23.11,0.0,0.0,48.5,11.0,88.5,8.0
0.6,0,5.67,5.5,-4.09,10.0,369.6,22.34,42.0,42.0,-499.89,483.0,28.0,2.38,1,372.0,0.0,907.6,0.0,0.0,0.0,85,1186.5,45.4,36.39,41.2,24.56,26.99,26.59,22.53,23.46,32.98,32.38,16.47,15.52,15.16,14.81,40.19,18.42,20.91,23.32,23.03,0.0,0.0,48.5,11.0,88.5,8.0
0.7,0,5.65,5.5,-4.49,10.0,369.6,22.34,42.0,42.0,-499.89,483.0,28.02,2.63,1,372.0,0.64,997.59,-0.02,0.0,0.0,85,1295.41,45.4,36.6,41.14,24.47,26.92,26.51,22.46,23.39,33.03,32.45,16.51,15.46,15.05,14.7,40.18,18.36,20.84,23.22,22.95,0.0,0.0,48.5,11.0,88.5,8.0
0.8,0,5.64,5.5,-4.84,10.0,369.58,22.34,42.0,42.0,-499.9,483.0,28.07,2.95,1,372.0,0.64,1108.72,-0.03,0.0,0.0,85,1395.4,45.4,36.81,41.09,24.39,26.85,26.43,22.4,23.32,33.09,32.52,16.55,15.41,14.93,14.58,40.17,18.3,20.76,23.13,22.88,0.0,0.0,48.5,11.0,88.5,8.0
0.9,0,5.62,5.5,-4.99,10.0,369.48,22.34,42.0,42.0,-499.92,483.0,28.12,3.32,1,372.0,0.64,1238.7,-0.03,0.0,0.0,85,1495.4,45.4,37.02,41.04,24.3,26.78,26.35,22.33,23.25,33.14,32.59,16.6,15.36,14.82,14.47,40.16,18.24,20.68,23.03,22.8,0.0,0.0,48.5,11.0,88.5,8.0
