Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0,0.0,,19.5,-1.0,19.0,381.6000000000001,25.64,,,,518.0,15.0,,1.0,,0.0,,0.27999999999999997,0.0,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,0.0,0.0,73.5,20.0,90,8
1,0.0,,19.5,-1.0,19.0,381.6,25.532222222222224,,,,518.0,15.0,,1.0,,0.0,,0.2833333333333333,0.0,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,0.0,0.0,73.5,20.0,90,8
2,0.0,,19.5,-1.0,19.0,381.6,25.51,,,,518.0,15.0,,1.0,,0.0,,0.29090909090909095,0.0,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,0.0,0.0,73.5,20.0,90,8
3,0.0,,19.5,-1.0,19.0,381.6,25.52111111111111,,,,518.0,15.0,,1.0,,0.0,,0.28111111111111114,0.0,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,0.0,0.0,73.5,20.0,90,8
4,0.0,,19.5,-0.9818181818181819,19.0,381.6,25.64181818181818,,,,518.0,15.0,,1.0,,0.0,,0.2863636363636364,0.0,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,0.0,0.0,73.5,20.0,90,8
5,0.0,,19.5,-1.0044444444444443,19.0,381.6,25.67,,,,518.0,15.0,,1.0,,0.0,,0.28444444444444444,0.0,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,0.0,0.0,73.5,20.0,90,8
6,0.0,,19.5,-1.8509090909090908,19.0,381.53909090909093,25.67,,,,518.0,15.0,,1.0,,0.0,,0.29545454545454547,0.0,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,0.0,0.0,73.5,20.0,90,8
7,0.17777777777777778,,19.5,-2.376666666666667,19.0,381.5,25.67,,,,518.0,15.0,,1.0,,0.0,,0.29,0.0,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,0.0,0.0,73.5,20.0,90,8
8,0.5018181818181818,,19.5,-2.4345454545454546,19.0,381.4636363636364,25.653636363636362,,,,518.0,15.0,,1.0,,0.0,,0.28272727272727277,0.0,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,0.0,0.0,73.5,20.0,90,8
9,0.20444444444444446,,19.5,-2.0622222222222226,19.0,381.4811111111111,25.532222222222224,,,,518.0,15.0,,1.0,,0.0,,0.29333333333333333,0.0,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,0.0,0.0,73.5,20.0,90,8
10,0.5636363636363636,,19.5,-3.7018181818181817,19.0,381.3209090909091,25.51,,,,518.0,15.0,,1.0,,0.0,,0.28363636363636363,0.0,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,0.0,0.0,73.5,20.0,90,8
11,1.0,,19.5,-4.254444444444444,19.0,381.2577777777778,25.51,,,,518.0,15.042222222222222,,1.0,,0.0,,0.2822222222222222,0.15777777777777777,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,1.6688888888888889,0.0,73.5,20.0,90,8
12,1.0,,19.5,-19.35363636363636,19.0,379.90909090909093,25.51,,,,518.0,15.415454545454544,,1.0,,0.0,,2.0318181818181817,121.38363636363637,0.0,85.0,0.0,63.0,,,,,,,,,,,,,,,,,,36.335454545454546,2.221818181818182,73.5,20.0,90,8
13,1.0,,19.5,-35.82222222222222,19.0,378.26444444444445,25.51,,,,518.0,15.5,,1.0,,0.0,,2.0433333333333334,125.61222222222221,0.0,85.0,0.0,62.9,,,,,,,,,,,,,,,,,,43.885555555555555,9.675555555555555,73.5,20.0,90,8
14,1.018181818181818,,19.5,-65.07545454545453,19.0,375.42272727272723,25.51,,,,518.0,15.5,,1.0,,0.0,,2.4709090909090907,148.24272727272728,0.0,85.0,0.0,62.9,,,,,,,,,,,,,,,,,,56.61454545454546,16.937272727272727,73.5,20.0,90,8
15,0.9600000000000001,,19.5,-94.3288888888889,19.0,372.39222222222224,25.51,,,,518.0,15.5,,1.0,,0.0,,2.53,154.7088888888889,0.0,85.0,0.0,62.9,,,,,,,,,,,,,,,,,,60.21,25.043333333333337,73.5,20.0,90,8
16,0.9599999999999999,,19.5,-100.96545454545453,19.0,371.2490909090909,25.51,,,,518.0,15.5,,1.0,,0.0,,2.139090909090909,131.6609090909091,0.0,85.0,0.0,62.9,,,,,,,,,,,,,,,,,,52.973636363636366,32.878181818181815,73.3,20.0,90,8
17,0.8933333333333332,,19.5,-66.19666666666666,19.0,373.9088888888889,25.51,,,,518.0,15.457777777777778,,1.0,,0.0,,1.1277777777777778,74.11666666666666,0.0,85.0,0.0,62.8,,,,,,,,,,,,,,,,,,44.64,38.3,73.0,20.0,90,8
18,0.8181818181818182,,19.5,-33.22272727272727,19.0,376.8190909090909,25.51,,,,518.0,15.084545454545456,,1.0,,0.0,,0.4254545454545454,33.26363636363636,0.0,85.0,0.0,62.8,,,,,,,,,,,,,,,,,,40.66,40.21636363636364,73.0,20.0,90,8
19,0.76,,19.5,-17.363333333333333,19.0,378.32444444444445,25.51,,,,518.0,15.0,,1.0,,0.0,,0.10555555555555556,15.274444444444445,0.0,85.0,0.0,62.8,,,,,,,,,,,,,,,,,,37.94,40.687777777777775,73.0,20.0,90,8
20,0.7272727272727273,,19.5,-11.000909090909092,19.0,378.9918181818182,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.0072727272727272745,7.850909090909091,0.0,85.0,0.0,62.8,,,,,,,,,,,,,,,,,,36.15090909090909,40.78545454545454,73.0,20.0,90,8
21,0.68,,19.5,-14.368888888888888,19.0,378.73333333333335,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.004444444444444444,11.61111111111111,0.0,85.0,0.0,62.8,,,,,,,,,,,,,,,,,,38.17666666666666,40.757777777777775,73.0,20.0,90,8
22,0.64,,19.5,-12.889999999999999,19.0,378.91,25.51,,,,518.0,15.0,,1.0,,0.0,,0.1,10.41,0.0,85.0,0.0,62.8,,,,,,,,,,,,,,,,,,37.376363636363635,40.70181818181818,73.0,20.0,90,8
23,0.6000000000000001,,19.5,-10.773333333333333,19.0,379.12333333333333,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.02555555555555556,7.993333333333333,0.0,85.0,0.0,62.74,,,,,,,,,,,,,,,,,,37.26444444444444,40.534444444444446,73.0,20.0,90,8
24,0.520909090909091,,19.5,-18.394545454545455,19.0,378.44818181818187,25.51,,,,518.0,15.0,,1.0,,0.0,,0.13272727272727272,16.874545454545455,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,41.57909090909091,40.64363636363636,73.0,20.0,90,8
25,0.4811111111111111,,19.5,-14.633333333333333,19.0,378.71444444444444,25.51,,,,518.0,15.0,,1.0,,0.0,,0.09000000000000001,13.254444444444443,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,33.11333333333333,41.01777777777777,73.0,20.0,90,8
26,0.4,,19.5,5.193636363636364,19.0,380.53363636363633,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.3772727272727273,-9.281818181818181,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,23.49181818181818,40.39909090909091,73.0,20.0,90,8
27,0.3688888888888889,,19.5,8.327777777777778,19.0,381.0022222222222,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.4077777777777778,-13.222222222222221,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,24.13222222222222,38.712222222222216,73.0,20.0,90,8
28,0.33454545454545453,,19.431818181818183,0.3436363636363635,19.0,380.36181818181814,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.2427272727272727,-4.3145454545454545,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,29.786363636363635,37.27363636363636,73.0,20.0,90,8
29,0.29777777777777775,,19.055555555555557,-16.672222222222224,19.0,378.8611111111111,25.51,,,,518.0,15.0,,1.0,,0.0,,0.12777777777777777,16.27111111111111,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,42.873333333333335,36.87444444444444,73.0,20.0,90,8
30,0.28,,19.0,-21.69,19.0,378.26363636363635,25.51,,,,518.0,15.0,,1.0,,0.0,,0.25,23.389090909090907,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,39.47363636363636,37.63727272727272,73.0,20.0,90,8
31,0.26222222222222225,,19.0,-5.538888888888889,19.0,379.6455555555556,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.1,4.52,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,27.306666666666665,37.946666666666665,73.0,20.0,90,8
32,0.23999999999999996,,19.0,3.9645454545454544,19.0,380.5981818181818,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.30727272727272725,-7.678181818181819,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,26.278181818181817,36.916363636363634,73.0,20.0,90,8
33,0.23222222222222222,,19.0,-0.9600000000000001,19.0,380.24333333333334,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.19555555555555557,-1.241111111111111,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,29.65888888888889,35.98222222222223,73.0,20.0,90,8
34,0.21545454545454545,,19.0,-1.471818181818182,19.0,380.2063636363636,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.15545454545454546,-0.36363636363636365,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,29.689090909090908,35.39272727272727,73.0,20.0,90,8
35,0.20222222222222222,,19.0,-2.893333333333333,19.0,380.1455555555556,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.15000000000000002,0.23888888888888882,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,31.354444444444443,34.76222222222222,73.0,20.0,90,8
36,0.2,,19.0,-9.898181818181818,19.0,379.5209090909091,25.51,,,,518.0,15.0,,1.0,,0.0,,0.025454545454545455,9.706363636363635,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,36.56181818181818,34.62,73.0,20.0,90,8
37,0.19333333333333333,,19.0,-7.680000000000001,19.0,379.6644444444444,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.05333333333333333,6.986666666666666,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,34.684444444444445,34.66,73.0,20.0,90,8
38,0.1827272727272727,,19.0,-2.9172727272727275,19.0,380.08272727272725,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.07636363636363637,0.7718181818181818,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,30.735454545454544,34.36363636363637,73.0,20.0,90,8
39,0.17,,19.0,-1.69,19.0,380.24,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.14444444444444446,-0.14555555555555555,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,29.603333333333335,33.82555555555555,73.0,20.0,90,8
40,0.16,,19.0,-3.066363636363637,19.0,380.12454545454545,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.13454545454545455,0.9372727272727274,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,31.235454545454544,33.33090909090909,73.0,20.0,90,8
41,0.16,,19.0,-3.6766666666666663,19.0,380.1,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.10555555555555556,1.7155555555555555,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,31.71222222222222,32.93111111111111,73.0,20.0,90,8
42,0.16,,19.0,-3.58,19.0,380.1,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.0990909090909091,1.5727272727272728,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,31.78818181818182,32.517272727272726,73.0,20.0,90,8
43,0.16,,19.0,-3.948888888888889,19.0,380.1,25.494444444444447,,,,518.0,15.0,,1.0,,0.0,,-0.06333333333333334,2.2222222222222223,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,32.107777777777784,32.16777777777778,73.0,20.0,90,8
44,0.16,,19.0,-3.6645454545454546,19.0,380.1,25.36818181818182,,,,518.0,15.0,,1.0,,0.0,,-0.09454545454545454,1.7036363636363638,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,31.7,31.826363636363634,73.0,20.0,90,8
45,0.16,,19.0,-3.626666666666667,19.0,380.11888888888893,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.10666666666666666,1.6866666666666665,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,31.68333333333333,31.483333333333334,73.0,20.0,90,8
46,0.16,,19.0,-1.54,19.0,380.3354545454545,25.35636363636364,,,,518.0,15.0,,1.0,,0.0,,-0.14363636363636365,-0.41545454545454547,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,29.12909090909091,31.08818181818182,73.0,20.0,90,8
47,0.16,,19.0,9.087777777777777,19.0,381.3022222222222,25.482222222222223,,,,518.0,15.0,,1.0,,0.0,,-0.4855555555555556,-17.813333333333333,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,21.01111111111111,29.967777777777776,73.0,20.0,90,8
48,0.16,,19.0,9.374545454545455,19.0,381.4627272727273,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.5509090909090909,-20.55090909090909,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,21.285454545454545,27.99090909090909,73.0,20.0,90,8
49,0.16,,19.0,2.9000000000000004,19.0,380.94444444444446,25.51,,,,518.0,15.0,,1.0,,0.0,,-0.31,-9.164444444444444,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,26.093333333333334,26.432222222222222,73.0,20.0,90,8
50,0.16,,19.0,-0.5363636363636363,19.0,380.60727272727274,25.49,,,,518.0,15.0,,1.0,,0.0,,-0.20454545454545456,-2.4545454545454546,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,28.45,25.616363636363634,73.0,20.0,90,8
51,0.16,,19.0,-0.4822222222222222,19.0,380.62222222222226,25.364444444444445,,,,518.0,15.0,,1.0,,0.0,,-0.21111111111111114,-2.52,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,28.12333333333333,24.986666666666665,73.0,20.0,90,8
52,0.16,,19.0,15.210909090909091,19.0,382.0781818181818,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.8809090909090909,-37.75454545454546,0.36363636363636365,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,11.732727272727272,23.438181818181818,73.0,20.0,90,8
53,0.16,,19.0,13.734444444444444,19.0,382.1111111111111,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.9044444444444445,-42.35666666666666,1.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,14.379999999999999,19.647777777777776,73.0,20.0,90,8
54,0.16,,19.0,6.846363636363637,19.0,381.5181818181818,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.6618181818181819,-27.80272727272727,0.1109090909090909,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,18.55727272727273,16.945454545454545,73.0,20.0,90,8
55,0.16,,19.051111111111112,4.404444444444445,19.0,381.33666666666664,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.5255555555555556,-22.956666666666667,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,20.285555555555554,14.85222222222222,73.0,20.0,90,8
56,0.16,,19.426363636363636,3.355454545454546,19.0,381.24545454545455,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.5499999999999999,-22.59,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,20.06,12.97272727272727,73.0,20.0,90,8
57,0.19555555555555557,,19.453333333333333,4.155555555555555,19.0,381.31888888888886,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.741111111111111,-31.95777777777778,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,16.145555555555557,10.852222222222222,73.0,20.0,90,8
58,0.2,,19.13818181818182,3.9299999999999997,19.0,381.33272727272725,25.34,,,,518.0,15.0,,1.0,,0.0,,-1.079090909090909,-50.404545454545456,0.06727272727272728,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,10.412727272727272,7.651818181818182,73.0,20.0,90,8
59,0.2,,19.433333333333334,0.037777777777777764,19.0,380.99111111111114,25.34,,,,518.0,15.0,,1.0,,0.0,,-1.2555555555555555,-61.67222222222222,1.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,0.0,3.461111111111111,73.0,20.0,90,8
60,0.2,,19.5,-2.2563636363636363,19.0,380.7818181818182,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.38727272727272727,-15.128181818181817,0.36363636363636365,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,0.0,0.7445454545454545,73.0,20.0,90,8
61,0.20444444444444446,,19.5,-1.8855555555555554,19.0,380.8,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.030000000000000002,0.0,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,0.0,0.05,73.0,20.0,90,8
62,0.23999999999999996,,19.5,-1.8818181818181818,19.0,380.8,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.030909090909090907,0.0,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,0.0,0.0,73.0,20.0,90,8
63,0.24000000000000002,,19.5,-1.9044444444444446,19.0,380.8,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.02,0.0,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,0.0,0.0,73.0,20.0,90,8
64,0.23999999999999996,,19.5,-1.8963636363636363,19.0,380.8,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.021818181818181816,0.0,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,0.0,0.0,73.0,20.0,90,8
65,0.24000000000000002,,19.5,-1.9222222222222223,19.0,380.8,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.022222222222222223,0.0,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,0.0,0.0,73.0,20.0,90,8
66,0.28,,19.5,-1.9363636363636365,19.0,380.8,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.02727272727272727,0.0,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,0.0,0.0,73.0,20.0,90,8
67,0.28,,19.5,-1.9844444444444445,19.0,380.8,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.02,0.0,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,0.0,0.0,73.0,20.0,90,8
68,0.28,,19.5,-2.0272727272727273,19.0,380.7936363636364,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.01636363636363636,0.17,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,2.251818181818182,0.0,73.0,20.0,90,8
69,0.28,,19.5,-4.974444444444444,19.0,380.49,25.34,,,,518.0,15.0,,1.0,,0.0,,0.6777777777777777,40.974444444444444,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,21.766666666666666,0.6544444444444444,73.0,20.0,90,8
70,0.28,,19.5,-5.951818181818182,19.0,380.3627272727272,25.34,,,,518.0,15.0,,1.0,,0.0,,0.5054545454545455,35.833636363636366,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,10.602727272727272,3.766363636363636,73.0,20.0,90,8
71,0.28,,19.5,-1.4366666666666665,19.0,380.78555555555556,25.34,,,,518.0,15.0,,1.0,,0.0,,-0.40111111111111114,-15.07,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,0.0,4.073333333333333,73.0,20.0,90,8
72,0.28,,19.5,-5.423636363636363,19.0,380.4336363636364,25.321818181818184,,,,518.0,15.0,,1.0,,0.0,,0.30363636363636365,18.486363636363635,0.0,85.0,0.0,62.7,,,,,,,,,,,,,,,,,,23.474545454545453,3.0645454545454545,73.0,20.0,90,8
