Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C].1,Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0,0.0,7.12,6.5,-1.5083333333333335,13.0,389.8999999999999,12.839999999999998,21.0,21.0,-0.23,437.0,12.5,0.0,1.0,393.0,0.0,0.0,-0.33499999999999996,0.0,0.0,85.0,0.0,81.0,21.78,21.87,10.17,10.0,9.83,10.699999999999998,11.92,12.44,10.17,9.91,10.61,11.31,11.4,22.22,11.479999999999999,11.13,12.01,10.87,0.0,0.0,93.5,14.0,89,8
1,0.0,7.12,6.5,-1.4922222222222221,13.0,389.9,12.84,21.0,21.0,-0.24222222222222223,437.0,12.5,0.0,1.0,393.0,0.0,0.0,-0.33111111111111113,0.0,0.0,85.0,0.0,81.0,21.78,21.87,10.14111111111111,10.0,9.83,10.7,11.953333333333333,12.44,10.214444444444446,9.878888888888888,10.61,11.268888888888888,11.516666666666667,22.22,11.48,11.16777777777778,12.01,10.833333333333334,0.0,0.0,93.5,14.0,89,8
2,0.0,7.120000000000001,6.5,-1.4736363636363636,13.0,389.9,12.840000000000002,21.0,21.243636363636366,-0.2827272727272727,437.0,12.5,0.0,1.0,393.0,0.0,0.0,-0.32636363636363636,0.0,0.0,85.0,0.0,80.99,21.755454545454544,21.843636363636364,10.090909090909092,9.959090909090909,9.83,10.7,11.97272727272727,12.477272727272727,10.302727272727273,9.83090909090909,10.61,11.22090909090909,11.739090909090908,22.19272727272727,11.48,11.21909090909091,11.973636363636365,10.745454545454546,0.0,0.0,93.5,14.0,89,8
3,0.0,7.12,6.5,-1.4433333333333334,13.0,389.9,12.84,21.0,21.77777777777778,-0.22111111111111112,437.0,12.5,0.0,1.0,393.0,0.0,0.0,-0.33555555555555555,0.0,0.0,85.0,0.0,80.9,21.70111111111111,21.782222222222224,10.09,9.953333333333333,9.83,10.7,11.953333333333333,12.564444444444444,10.30888888888889,9.792222222222222,10.61,11.22,11.793333333333333,22.13111111111111,11.48,11.187777777777777,11.92,10.657777777777778,0.0,0.0,93.5,14.0,89,8
4,0.0,7.120000000000001,6.5,-1.4372727272727273,13.0,389.9,12.840000000000002,21.0,22.0,-0.17454545454545453,437.0,12.5,0.0,1.0,393.0,0.0,0.0,-0.3381818181818182,0.0,0.0,85.0,0.0,80.9,21.7,21.78,10.09,10.0,9.83,10.7,12.009090909090908,12.652727272727274,10.222727272727273,9.704545454545455,10.61,11.262727272727274,11.705454545454545,22.13,11.48,11.131818181818183,11.92,10.65090909090909,0.0,0.0,93.5,14.0,89,8
5,0.0,7.12,6.699999999999999,-1.4655555555555555,13.0,389.9,12.84,21.0,22.0,-0.2111111111111111,437.0,12.5,0.0,1.0,393.0,0.0,0.0,-0.32333333333333336,0.0,0.0,85.0,0.0,80.9,21.7,21.78,10.09,10.0,9.83,10.7,11.974444444444444,12.70888888888889,10.253333333333334,9.65,10.61,11.31,11.578888888888889,22.10666666666667,11.48,11.13,11.92,10.7,0.0,0.0,93.5,14.0,89,8
6,0.0,7.120000000000001,6.790909090909091,-1.4554545454545453,13.0,389.9,12.840000000000002,21.0,22.0,-0.15818181818181817,437.0,12.5,0.0,1.0,393.0,0.0,0.0,-0.3436363636363637,0.0,0.0,85.0,0.0,80.9,21.7,21.78,10.09,10.0,9.791818181818181,10.7,11.92090909090909,12.71,10.34909090909091,9.65,10.61,11.26909090909091,11.480909090909092,22.044545454545453,11.44909090909091,11.13,11.92,10.738181818181818,0.0,0.0,93.5,14.0,89,8
7,0.0,7.12,6.5,-1.4655555555555555,13.0,389.9,12.84,21.0,22.0,-0.17666666666666667,437.0,12.5,0.0,1.0,393.0,0.0,0.0,-0.33222222222222225,0.0,0.0,85.0,0.0,80.9,21.7,21.756666666666668,10.09,9.958888888888888,9.772222222222222,10.7,11.953333333333333,12.71,10.38888888888889,9.65,10.651111111111112,11.22,11.48,22.01888888888889,11.363333333333333,11.13,11.92,10.79,0.0,0.0,93.5,14.0,89,8
8,0.0,7.120000000000001,6.5,-1.4372727272727273,13.0,389.9,12.840000000000002,21.0,22.0,-0.27545454545454545,437.0,12.5,0.0,1.0,393.0,0.0,0.0,-0.34,0.0,0.0,85.0,0.0,80.9,21.7,21.702727272727273,10.121818181818183,9.954545454545455,9.827272727272726,10.7,11.97272727272727,12.71,10.43909090909091,9.685454545454546,10.656363636363636,11.181818181818182,11.48,21.962727272727275,11.344545454545456,11.168181818181818,11.92,10.79,0.0,0.0,93.5,14.0,89,8
9,0.0,7.12,6.5,-1.4655555555555555,13.0,389.9,12.84,21.0,22.0,-0.22111111111111112,437.0,12.5,0.0,1.0,393.0,0.0,0.0,-0.3333333333333333,0.0,0.0,85.0,0.0,80.9,21.67111111111111,21.7,10.14111111111111,10.0,9.83,10.7,11.953333333333333,12.71,10.395555555555555,9.77111111111111,10.61,11.13,11.563333333333333,21.96,11.362222222222222,11.187777777777777,11.92,10.79,0.0,0.0,93.5,14.0,89,8
10,0.0,7.120000000000001,6.5,-1.4372727272727273,13.0,389.9,12.840000000000002,21.0,22.0,-0.17454545454545453,437.0,12.5,0.0,1.0,393.0,0.0,0.0,-0.3290909090909091,0.0,0.0,85.0,0.0,80.9,21.612727272727273,21.67,10.090909090909092,10.0,9.83,10.7,12.009090909090908,12.71,10.30909090909091,9.827272727272726,10.61,11.13,11.697272727272729,21.931818181818183,11.379090909090909,11.17090909090909,11.954545454545455,10.79,0.0,0.0,93.5,14.0,89,8
11,0.0,7.12,6.5,-1.6966666666666665,13.0,389.8922222222222,12.84,21.0,22.0,-0.22444444444444445,437.0,12.5,0.011111111111111112,1.0,392.99111111111114,0.0,4.046666666666667,-0.34,0.0,0.0,85.0,170.51777777777778,80.9,21.61,21.61111111111111,10.09,10.0,9.83,10.657777777777778,11.974444444444444,12.672222222222222,10.181111111111111,9.83,10.61,11.094444444444443,11.785555555555554,21.871111111111112,11.48,11.22,11.974444444444444,10.825555555555557,0.0,0.0,93.5,14.0,89,8
12,0.11636363636363636,7.120000000000001,6.5,-4.914545454545455,13.0,389.5554545454545,12.840000000000002,21.0,21.818181818181817,-0.24363636363636365,437.0,12.5,2.2618181818181817,1.0,392.03818181818184,0.1527272727272727,851.0281818181818,-0.3336363636363636,0.0,0.0,85.0,1138.0445454545454,80.9,21.61,21.61,10.09,9.959090909090909,9.83,10.61,11.92090909090909,12.995454545454544,10.735454545454546,9.860000000000001,10.65090909090909,11.05,11.83,21.87,11.48,11.22,11.92090909090909,10.87,0.0,0.0,93.5,14.0,89,8
