Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C].1,Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0,0.0,9.552010000000001,8.5,-18.815845,7.0,388.8,12.669199999999998,9.0,9.0,-500.19074,449.0,7.5,17.474014999999998,1.0,390.0,7.0,6834.1717,-0.3451033333333333,0.0,0.0,85.0,6778.345851666668,86.1,7.727275,11.561689999999999,11.04723,10.884106666666668,11.13451,10.52354,9.82528,7.759691666666666,8.125426666666668,8.436069999999999,9.30159,12.53101,13.49111,8.267228333333334,9.65072,9.65072,10.26169,10.34897,0.0,0.0,100.0,7.0,89,8
1,0.0,9.498082222222223,8.5,-18.148177777777775,7.0,388.80771333333337,12.6692,9.0,9.006483333333334,-500.19074,449.0,7.559077777777778,17.047452222222223,1.0,390.0,6.8933333333333335,6632.4447433333335,-0.36973555555555554,0.0,0.0,85.0,6564.469173333333,86.1,7.6733633333333335,12.86513,11.04723,10.938027777777778,11.13451,10.52354,9.82528,8.000594444444443,8.37951111111111,8.50026888888889,9.30159,12.53101,13.482591111111113,8.485863333333334,9.65072,9.652989999999999,10.26169,10.34897,0.0,0.0,100.0,7.0,89,8
2,0.0,9.5438,8.5,-17.650255454545455,7.0,388.9145209090909,12.6692,9.237833636363636,9.959847272727272,-500.19074,449.0,7.934727272727272,16.30021,1.0,390.0,6.592727272727273,6356.340555454546,-0.3484018181818182,0.0,0.0,85.0,6297.163816363637,86.1,7.645014545454544,14.506125454545456,11.04723,10.89228818181818,11.13451,10.52354,9.82528,8.418364545454544,8.823226363636364,8.712926363636363,9.30159,12.531010000000002,13.355827272727272,8.897471818181819,9.646738181818181,9.709717272727273,10.26169,10.34273,0.0,0.0,100.0,7.0,89,8
3,0.0,9.56344,8.5,-17.001535555555556,7.0,388.93441888888884,12.6692,10.0,10.0,-500.15346111111114,449.0,8.0,15.743564444444445,1.0,390.0,6.346666666666668,6145.332192222222,-0.36403555555555556,0.0,0.0,85.0,6100.0206333333335,86.1,7.701004444444444,16.012195555555554,11.04723,10.876926666666668,11.13451,10.52354,9.82528,8.924535555555556,9.534512222222222,8.916333333333334,9.30585,12.526753333333334,13.31655,9.503033333333333,9.586030000000001,9.673326666666668,10.26169,10.279343333333333,0.0,0.0,100.0,7.0,89,8
4,0.0,9.557207272727272,8.5,-16.74822181818182,7.0,388.96363818181817,12.6692,10.237802727272728,10.783275454545453,-255.46203727272726,449.0,8.07175,15.349642727272727,1.0,390.0,6.116363636363636,5994.087368181818,-0.35357727272727274,0.0,0.0,85.0,5963.656661818182,86.1,7.79006,17.354612727272727,11.039268181818182,10.934078181818181,11.13451,10.517298181818182,9.821300909090908,9.64621090909091,10.3959,9.216264545454546,9.369237272727274,12.463372727272729,13.31655,10.32270090909091,9.547519090909091,9.646746363636364,10.237843636363637,10.249210909090909,0.0,0.0,100.0,7.0,89,8
5,0.0,9.493826666666667,8.5,-16.202435555555557,7.0,388.97778,12.6692,11.006421111111111,11.179496666666667,-0.2696711111111111,449.0,8.447362222222221,15.092416666666667,1.0,390.0,6.020337777777778,5874.272998888889,-0.34689333333333333,0.0,0.0,85.0,5840.655173333334,86.1,7.933925555555555,18.573552222222222,10.908758888888888,10.890315555555555,11.13451,10.441114444444445,9.756049999999998,10.49696,11.336356666666667,9.502417777777778,9.393136666666667,12.439473333333334,13.320806666666666,11.420653333333334,9.311503333333333,9.583779999999999,9.864583333333334,10.113906666666667,0.0,0.0,100.0,7.0,89,8
6,0.0,9.47616,8.5,-16.183601818181817,7.0,388.99910727272726,12.6692,11.959792727272726,12.0,-0.22751909090909092,449.0,8.571806363636364,14.760051818181818,1.0,390.0,5.798801818181818,5777.552820909091,-0.35745363636363636,0.0,0.0,85.0,5764.942545454545,86.1,8.169193636363637,19.499042727272727,10.612783636363638,10.87266,11.138489090909092,10.227061818181816,9.608062727272726,11.434425454545455,12.290191818181817,9.764255454545456,9.456515454545455,12.376093636363636,13.384187272727273,12.755130000000001,9.415191818181817,9.504446363636363,9.490113636363636,9.951827272727273,0.0,0.0,100.0,7.0,89,8
7,0.0,9.47616,8.5,-15.997861111111112,7.0,388.9566488888889,12.6692,12.623872222222223,12.401685555555556,-0.34244,449.0,9.006682222222222,14.75,1.0,390.0,5.76,5748.376837777778,-0.3624544444444444,0.0,0.0,85.0,5730.486666666667,86.1,8.544802222222224,19.951055555555556,10.398710000000001,10.87266,11.196921111111111,10.104785555555555,9.501025555555556,12.38996,13.178358888888889,10.026092222222223,9.480416666666667,12.35645,13.408086666666668,14.09443888888889,9.670212222222222,9.538558888888888,9.455812222222221,9.91257,0.0,0.0,100.0,7.0,89,8
8,0.0,9.47616,8.5,-16.00555272727273,7.0,388.94456545454545,12.6692,13.601339090909091,13.0,-0.3440581818181818,449.0,9.434871818181819,14.645123636363637,1.0,390.0,5.76,5703.219636363636,-0.34890818181818184,0.0,0.0,85.0,5692.217207272727,86.1,9.15268090909091,20.44153272727273,10.490839999999999,10.87889909090909,11.158812727272728,10.099604545454547,9.551068181818183,13.21673,13.975299999999999,10.287931818181818,9.550023636363635,12.35645,13.471465454545456,15.289332727272727,9.738,9.500479090909092,9.539119999999999,9.918806363636364,0.0,0.0,100.0,7.0,89,8
9,0.0,9.47616,8.5,-15.703378888888889,7.0,388.91220888888887,12.6692,14.17828888888889,13.844905555555556,-0.26793,449.0,9.559332222222222,14.5,1.0,390.0,5.7155555555555555,5663.979244444445,-0.35740333333333335,0.0,0.0,85.0,5650.533777777779,86.0,9.852723333333333,21.053694444444446,10.79135,10.94655,11.13451,10.230637777777778,9.76429888888889,13.937022222222222,14.688906666666668,10.54977,9.633047777777778,12.35645,13.486854444444445,16.422186666666665,9.735729999999998,9.47616,9.561173333333334,9.98219,0.0,0.0,100.0,7.0,89,8
