Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C].1,Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
13,0.0,3.54,3.0,-1.2,3.967777777777778,391.6,10.0,3.0,3.0,-0.2733333333333333,499.2088888888889,5.0,0.0,1.0,394.0,0.0,0.0,-0.23777777777777778,0.0,0.0,85.0,0.0,85.5,2.7044444444444444,2.67,5.84,5.661111111111111,5.84,5.02,4.59,3.02,3.0166666666666666,3.98,4.002222222222222,8.343333333333334,10.11111111111111,2.93,4.704444444444444,4.2988888888888885,5.403333333333333,5.636666666666667,0.0,0.0,100.0,4.0,88.5,8
14,0.0,3.5399999999999996,3.0,-1.2,3.6136363636363638,391.6,10.0,3.0,3.0,-0.26272727272727275,499.11,5.0,0.0,1.0,394.0,0.0,0.0,-0.23545454545454544,0.0,0.0,85.0,0.0,85.5,2.7190909090909092,2.67,5.866363636363636,5.697272727272727,5.866363636363636,5.02,4.59,3.02,2.9545454545454546,3.98,4.036363636363636,8.407272727272728,10.084545454545456,2.98,4.7318181818181815,4.327272727272727,5.431818181818182,5.573636363636364,0.0,0.0,100.0,4.0,88.5,8
15,0.0,3.54,3.0,-1.2,3.974444444444444,391.6,10.0,3.0,3.0,-0.33666666666666667,499.01,5.0,0.0,1.0,394.0,0.0,0.0,-0.24333333333333332,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.84,5.72,5.84,5.02,4.59,3.02,2.9322222222222223,3.98,4.002222222222222,8.494444444444445,10.027777777777779,2.966666666666667,4.704444444444444,4.267777777777777,5.461111111111111,5.551111111111111,0.0,0.0,100.0,4.0,88.5,8
16,0.0,3.5399999999999996,3.0,-1.2,3.8027272727272727,391.6,10.0,3.0,3.0,-0.41363636363636364,498.91,5.0,0.0,1.0,394.0,0.0,0.0,-0.24545454545454548,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.869090909090909,5.72,5.869090909090909,5.02,4.59,3.02,2.9936363636363637,3.98,4.039090909090909,8.514545454545454,10.124545454545455,2.93,4.732727272727273,4.24,5.5190909090909095,5.612727272727273,0.0,0.0,100.0,4.0,88.5,8
17,0.0,3.54,3.0,-1.2166666666666666,4.0,391.6,10.0,3.0,3.0,-0.3622222222222222,498.81,5.0,0.0,1.0,394.0,0.0,0.0,-0.22777777777777775,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.898888888888889,5.72,5.9,5.02,4.59,3.02,3.0166666666666666,3.98,4.06,8.447777777777778,10.17,2.93,4.76,4.24,5.55,5.641111111111111,0.0,0.0,100.0,4.0,88.5,8
18,0.0,3.5399999999999996,3.0,-1.2045454545454546,4.0,391.6,10.0,3.0,3.0,-0.29545454545454547,498.7154545454545,5.0,0.0,1.0,394.0,0.0,0.0,-0.23272727272727273,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.842727272727273,5.72,5.9,5.02,4.59,3.02,2.958181818181818,3.98,4.057272727272727,8.302727272727273,10.167272727272728,2.930909090909091,4.76,4.24,5.55,5.697272727272727,0.0,0.0,100.0,4.0,88.5,8
19,0.0,3.54,3.0,-1.2,4.0,391.6,10.0,3.0,3.0,-0.38,498.62,5.0,0.0,1.0,394.0,0.0,0.0,-0.24333333333333332,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.868888888888889,5.72,5.9,5.02,4.59,3.02,2.9955555555555557,3.98,4.002222222222222,8.253333333333334,10.112222222222222,2.9811111111111113,4.76,4.2411111111111115,5.55,5.72,0.0,0.0,100.0,4.0,88.5,8
20,0.0,3.5399999999999996,3.0,-1.2,4.0,391.6,10.0,3.0,3.0,-0.37999999999999995,498.52000000000004,5.0,0.0,1.0,394.0,0.0,0.0,-0.25181818181818183,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.842727272727273,5.72,5.9,5.02,4.59,3.0209090909090905,3.02,4.033636363636363,4.039090909090909,8.30909090909091,10.153636363636364,2.9672727272727273,4.76,4.295454545454546,5.551818181818182,5.72,0.0,0.0,100.0,4.0,88.5,8
21,0.0,3.54,3.0,-1.2,4.0,391.6,10.0,3.0,3.2222222222222223,-0.35,498.41999999999996,5.0,0.0,1.0,394.0,0.0,0.0,-0.24777777777777776,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.868888888888889,5.72,5.898888888888889,5.02,4.59,3.0755555555555554,3.0166666666666666,4.06,4.058888888888888,8.21,10.237777777777778,2.93,4.76111111111111,4.268888888888889,5.607777777777778,5.72,0.0,0.0,100.0,4.0,88.5,8
22,0.0,3.5399999999999996,3.0,-1.2,4.0,391.6,10.0,3.0,3.0,-0.31,498.32000000000005,5.0,0.0,1.0,394.0,0.0,0.0,-0.24545454545454548,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.84,5.72,5.84,5.02,4.59,3.1,2.958181818181818,4.06,4.005454545454546,8.104545454545455,10.252727272727272,2.93,4.825454545454545,4.295454545454546,5.64,5.72,0.0,0.0,100.0,4.0,88.5,8
23,0.0,3.54,3.0,-1.2,4.0,391.6,10.0,3.0,3.0,-0.33666666666666667,498.2211111111111,5.0,0.0,1.0,394.0,0.0,0.0,-0.24555555555555555,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.81,5.72,5.811111111111111,5.0233333333333325,4.591111111111111,3.1,2.9955555555555557,4.061111111111111,4.04111111111111,8.086666666666666,10.13,2.93,4.967777777777778,4.268888888888889,5.638888888888889,5.723333333333333,0.0,0.0,100.0,4.0,88.5,8
24,0.0,3.537272727272727,3.0,-1.1818181818181819,4.0,391.6,10.0,3.0,3.1818181818181817,-0.31545454545454543,498.13000000000005,5.0,0.0,1.0,394.0,0.0,0.0,-0.23909090909090908,0.0,0.0,85.0,0.0,85.5,2.76,2.7181818181818183,5.81,5.72,5.869090909090909,5.084545454545455,4.6463636363636365,3.047272727272727,3.02,4.124545454545454,4.06,8.271818181818182,10.016363636363637,2.93,5.02,4.298181818181818,5.578181818181818,5.785454545454545,0.0,0.0,100.0,4.0,88.5,8
25,0.0,3.478888888888889,3.0,-1.2,3.9955555555555557,391.6,10.0,3.0,3.2222222222222223,-0.2611111111111111,498.03000000000003,5.0,0.0,1.0,394.0,0.0,0.0,-0.2411111111111111,0.0,0.0,85.0,0.0,85.5,2.76,2.7044444444444444,5.81,5.72,5.9,5.046666666666667,4.68,3.02,3.02,4.211111111111111,4.06,8.411111111111111,9.868888888888888,2.93,5.02,4.33,5.55,5.812222222222221,0.0,0.0,100.0,4.0,88.5,8
